INNING,PITCHER_PITCH_COUNT,PITCHER_NAME_LAST_FIRST,PITCH_TYPE,RELEASE_SPEED,SPIN_RATE,PITCH_RELEASE_COORDINATES_X,PITCH_RELEASE_COORDINATES_Z,EXTENSION,HORIZONTAL_BREAK,INDUCED_VERTICAL_BREAK,ELBOW_BR_X,ELBOW_FP_X,ELBOW_MER_X,FOOTPOS_IN,FRONTKNEE_BR_X,FRONTKNEE_FP_X,PELVIS_FP_Z,SHOULDER_BR_X,SHOULDER_BR_Y,SHOULDER_BR_Z,SHOULDER_FP_X,SHOULDER_FP_Y,SHOULDER_FP_Z,STRIDELENGTH100,TRUNK_BR_X,TRUNK_BR_Y,TRUNK_BR_Z,TRUNK_FP_X,TRUNK_FP_Y,TRUNK_FP_Z
7,94,Player A,Curveball,80.3883,3069.98,-2.649488553,5.250046968,6.033803284,17.35635357,-8.836286006,18.835064,90.492935,68.872017,-13.388475,-17.299446,-47.481251,30.069187,-3.473849,-86.997734,-103.200378,-28.247541,-82.033676,-51.595837,82.218582,-26.647268,3.785455,111.772652,-23.035557,-3.380013,-1.553947
7,91,Player A,Curveball,81.1436,2930.98,-2.596839292,5.287482362,6.2849589,8.552295942,-9.194957446,17.543615,88.490181,75.076813,-12.834901,-20.024469,-46.93235,25.91301,-6.670791,-87.678993,-88.21151,-28.197557,-82.601646,-45.596077,83.303299,-24.946074,2.657078,112.718834,-23.366488,-5.327053,-3.388054
1,9,Player A,Curveball,82.75,3023.98,-2.437610531,5.331092274,5.645580277,15.74733461,-3.150331359,20.663864,91.732651,75.946587,-12.876179,-24.804361,-47.819828,27.705956,-1.979697,-88.034851,-100.69146,-28.612041,-80.389153,-53.194824,81.56369,-26.631132,2.990835,110.993118,-24.577394,-4.615892,-4.551186
7,106,Player A,Curveball,81.715,2981.98,-2.556335772,5.190662758,6.274520446,15.71906305,-3.912415049,22.649256,93.915176,72.198326,-13.013071,-18.581823,-48.877602,33.428982,-1.231011,-88.526917,-88.902885,-29.055071,-80.828445,-50.259247,82.888641,-25.866522,1.413054,111.582634,-23.112663,-4.216677,0.614861
1,1,Player A,Fastball,93.7723,2246.98,-2.497084645,5.418919155,6.27144425,-16.8949701,11.40204979,22.664278,86.6772,73.977104,-9.856566,-30.171541,-50.537254,29.465229,0.008133,-88.946091,-99.955322,-25.778023,-82.060402,-49.121586,83.345558,-25.800154,3.785414,111.526321,-24.769983,-5.318536,-4.635437
7,100,Player A,Curveball,81.2503,2955.98,-2.374216369,5.177149667,6.398148,13.70792781,-8.757779002,18.693329,90.083359,68.975311,-12.480413,-22.613241,-49.115578,27.365936,-2.423183,-88.955437,-101.12149,-27.062578,-83.473465,-43.000168,83.433014,-25.090721,1.920672,112.55497,-25.424528,-4.265095,-4.47213
1,11,Player A,Fastball,95.9095,2142.98,-2.419987908,5.422236744,6.297057127,-13.37713228,10.07968519,21.524162,92.605446,76.518074,-12.322433,-17.310656,-47.76553,40.768505,0.024348,-89.407021,-90.897308,-36.808903,-78.951263,-53.562141,82.845772,-29.183306,6.071273,110.083153,-20.710176,-5.182637,3.683136
7,104,Player A,Fastball,92.9483,2328.98,-2.363028472,5.257424979,6.14156452,-12.26001921,10.92833915,17.956892,91.248917,69.902626,-11.891553,-24.499441,-48.521233,29.219097,-3.84834,-88.532104,-96.143478,-29.422485,-77.593803,-47.196499,83.340988,-23.968655,4.4946,111.030563,-24.205931,-3.848805,-1.927063
7,93,Player A,Curveball,80.3561,3059.98,-2.456977296,5.122039473,6.272822175,13.48426694,-12.0590551,17.245909,90.074112,72.412872,-12.934763,-20.571173,-49.156513,28.999287,-3.175962,-88.695091,-99.272385,-32.7099,-80.471672,-50.917973,82.248894,-24.75565,0.761694,110.959503,-22.601391,-3.872203,-1.405319
1,7,Player A,Fastball,96.1664,2262.98,-2.389011515,5.451761428,6.370329642,-11.16196052,11.15274996,20.470442,89.460983,77.488953,-12.624624,-22.25919,-48.703331,33.800846,-0.713163,-88.952438,-104.389519,-33.232075,-80.250046,-48.204937,82.688751,-27.255713,6.073098,110.708015,-22.571573,-5.75093,-1.402374
7,97,Player A,Changeup,86.4503,1999.98,-2.597478656,5.153388203,6.168653444,-17.00251514,-2.258230819,19.134357,87.317711,72.290504,-13.654755,-31.804548,-48.061977,28.237961,-3.515115,-89.646271,-97.721268,-28.660212,-80.941673,-43.454914,82.740089,-23.710735,3.072213,112.486382,-24.396521,-4.215664,-5.062538
7,99,Player A,Fastball,93.6883,2274.98,-2.229962784,5.228096462,6.268786043,-15.23366242,9.635102704,17.68504,92.845535,76.099602,-11.520326,-31.885523,-47.199139,26.402573,-7.266402,-86.342026,-87.10701,-26.477776,-82.440865,-45.099495,85.017456,-22.010754,6.640155,113.217575,-23.4338,-4.514224,-4.939972
1,2,Player A,Curveball,81.3898,2823.98,-2.556472497,5.256762661,6.268761396,10.78082262,-4.738564395,19.897976,84.529984,72.931259,-11.918303,-31.965374,-50.341587,29.423988,-1.040721,-88.571091,-99.867828,-29.720697,-81.27581,-49.482895,82.607574,-27.124924,1.892839,111.810509,-23.306147,-4.959589,-2.835892
7,105,Player A,Sinker,93.1575,2028.98,-2.32364388,5.218787012,6.226584091,-20.25650957,3.841522458,17.848043,90.210892,74.088348,-11.302562,-24.696951,-46.925854,32.978985,-2.948123,-88.007103,-92.279854,-30.659142,-80.881752,-47.62104,83.687706,-23.036591,3.698471,111.840385,-25.648191,-4.601056,-0.840759
1,10,Player A,Curveball,81.7351,2960.98,-2.63131614,5.285266445,6.326003213,13.82120686,-11.38471712,20.802021,89.20665,73.568893,-12.519899,-29.775124,-47.576733,27.447124,-0.928903,-87.586395,-94.896103,-28.761623,-79.764748,-54.918076,81.924088,-26.894518,3.476691,112.274559,-24.951843,-3.719466,-3.006073
1,6,Player A,Fastball,96.2683,2247.98,-2.348280071,5.34821743,6.191290492,-12.45861443,10.726296,21.75495,87.428986,74.000397,-11.718097,-28.644663,-49.092854,30.385098,-0.903785,-88.746666,-97.035995,-29.941633,-78.417915,-47.239101,82.720764,-26.954351,5.1867,111.005821,-24.353785,-5.032383,-4.005783
1,8,Player A,Curveball,82.5758,2987.98,-2.472142117,5.341608631,6.27735384,11.80452795,-10.90329112,20.928741,88.60305,74.446121,-10.741093,-22.202269,-47.364052,28.664661,-1.309996,-87.93261,-98.606079,-29.579945,-82.407166,-56.328293,82.829575,-26.206095,3.901311,111.257362,-21.9007,-4.726838,-2.322914
1,5,Player A,Fastball,95.4306,2337.98,-2.604181858,5.306678977,6.134125212,-16.80966504,10.96285583,19.504377,85.797066,72.417664,-12.214732,-27.407188,-49.412636,33.067677,-3.314674,-87.949898,-93.123108,-31.891628,-80.141266,-52.005318,83.854156,-27.063686,3.289951,110.473389,-24.00543,-4.798685,-2.912125
7,102,Player A,Fastball,93.6177,2217.98,-2.313532176,5.26180756,6.126977149,-13.21418662,7.107293165,18.52426,94.405571,74.079399,-12.232675,-31.384253,-48.891651,31.136467,-4.048858,-87.656693,-86.959023,-30.565014,-79.862312,-46.524757,83.721222,-23.489153,5.102801,111.756981,-24.113276,-4.70877,-3.914963
7,95,Player A,Fastball,93.6038,2295.98,-2.468553711,5.258463143,6.161298111,-13.94504438,12.23105609,19.632843,89.079842,74.903526,-14.026916,-24.207542,-48.214954,29.281857,-4.387191,-88.122467,-102.864922,-31.662947,-82.252235,-47.583775,83.503792,-22.615917,4.556034,113.411827,-23.653606,-4.098802,-1.42411
1,13,Player A,Fastball,95.3175,2146.98,-2.399411671,5.273662515,6.414471727,-13.74172511,9.970617118,20.776417,86.083351,70.665215,-10.014857,-27.091208,-49.844296,29.682293,-0.798236,-87.857529,-103.67025,-30.263052,-82.214828,-43.022556,83.698044,-26.709871,4.810287,109.905991,-25.65937,-5.196981,-4.502769
1,4,Player A,Fastball,95.9481,2251.98,-2.446875254,5.382543331,6.126501901,-14.78541662,9.612641418,22.324291,86.567535,74.398682,-12.332616,-31.186367,-48.242855,28.19949,-0.178977,-88.17408,-100.031532,-31.017508,-81.119537,-52.760269,83.009598,-27.445309,5.700404,111.325195,-24.882183,-4.71194,-6.603889
7,92,Player A,Sinker,92.8642,2105.98,-2.385883102,5.297557631,6.000820072,-17.66465901,5.124194572,17.702414,85.646263,71.751587,-12.722188,-20.576458,-45.927887,29.256718,-3.145652,-88.119522,-95.266884,-27.885262,-79.418045,-49.609097,82.882843,-24.817369,4.48816,110.792381,-22.62071,-3.99754,-1.314957
7,98,Player A,Fastball,94.3524,2272.98,-2.61706206,5.325612316,6.247440601,-17.82236521,8.710370655,19.956341,89.19352,72.926003,-12.853021,-18.729101,-47.701351,31.395828,-2.975966,-87.89547,-89.739563,-28.924267,-79.542938,-47.917072,83.116684,-25.140493,5.426862,111.286835,-24.4249,-4.495215,-2.534462
1,3,Player A,Curveball,82.6477,2878.98,-2.461848489,5.280086362,6.325964059,9.468935672,-2.823110397,17.943922,86.231987,81.004807,-11.52767,-25.986797,-49.48975,30.707878,-6.489801,-87.871536,-72.459961,-32.550365,-80.62722,-50.682461,81.638496,-25.676569,1.500708,114.249084,-24.716597,-4.396517,-3.707123
1,12,Player A,Curveball,82.4647,3057.98,-2.596581929,5.288484843,6.17605221,14.41438266,-12.6209983,20.199329,93.145599,78.217049,-12.552767,-25.115952,-48.866501,29.587612,-0.698576,-87.742416,-99.256668,-31.686039,-80.939896,-48.985413,82.193275,-28.20565,3.065642,110.252304,-24.651091,-5.303642,-3.700569
7,103,Player A,Sinker,93.8723,2202.98,-2.434862737,5.178093874,6.172542855,-19.13068968,1.861664785,19.777599,94.404091,76.207344,-11.983339,-17.974703,-45.918427,35.044022,-1.859427,-88.200989,-96.624504,-31.251926,-76.490402,-56.138737,84.606483,-22.87393,2.826276,112.357765,-22.73197,-4.59724,3.789421
